before_tokenisasi,after_tokenisasi
kemenangan memang penting tapi lebih penting lagi konsistensi,"['kemenangan', 'memang', 'penting', 'tapi', 'lebih', 'penting', 'lagi', 'konsistensi']"
sangat layak tim remukan rengginang tukang sogok wasit harom,"['sangat', 'layak', 'tim', 'remukan', 'rengginang', 'tukang', 'sogok', 'wasit', 'harom']"
amorim ngebangun chemistry tim yang solid sampai yang mudamuda pun bisa saling dukung dan berkembang,"['amorim', 'ngebangun', 'chemistry', 'tim', 'yang', 'solid', 'sampai', 'yang', 'mudamuda', 'pun', 'bisa', 'saling', 'dukung', 'dan', 'berkembang']"
sabar dulu bang wkwkw pergantiannya memang aneh tunggu tahun lagi biar genap tahun kalo masih begitu begitu saja harus out eth kenapa tahun kita lihat saja ke klop di liverpool,"['sabar', 'dulu', 'bang', 'wkwkw', 'pergantiannya', 'memang', 'aneh', 'tunggu', 'tahun', 'lagi', 'biar', 'genap', 'tahun', 'kalo', 'masih', 'begitu', 'begitu', 'saja', 'harus', 'out', 'eth', 'kenapa', 'tahun', 'kita', 'lihat', 'saja', 'ke', 'klop', 'di', 'liverpool']"
kenapa tiap emyu cetak gol itu wasit var matanya langsung jeli,"['kenapa', 'tiap', 'emyu', 'cetak', 'gol', 'itu', 'wasit', 'var', 'matanya', 'langsung', 'jeli']"
fit tapi planga plongo,"['fit', 'tapi', 'planga', 'plongo']"
laga kedua menunjukkan bahwa ruben amorim sudah mulai membuat perubahan dalam permainan tim meskipun masih ada banyak ruang untuk perbaikan,"['laga', 'kedua', 'menunjukkan', 'bahwa', 'ruben', 'amorim', 'sudah', 'mulai', 'membuat', 'perubahan', 'dalam', 'permainan', 'tim', 'meskipun', 'masih', 'ada', 'banyak', 'ruang', 'untuk', 'perbaikan']"
busetbaru kalah sekali saja sudah kayak kali kalah beruntunlebayy amat permainan sudah kelihatan jauh meningkat timbang musim kemarenmusim kemarin passing saja pada enggak bisaskarang sudah bisa keluar dari pressing lawan,"['busetbaru', 'kalah', 'sekali', 'saja', 'sudah', 'kayak', 'kali', 'kalah', 'beruntunlebayy', 'amat', 'permainan', 'sudah', 'kelihatan', 'jauh', 'meningkat', 'timbang', 'musim', 'kemarenmusim', 'kemarin', 'passing', 'saja', 'pada', 'enggak', 'bisaskarang', 'sudah', 'bisa', 'keluar', 'dari', 'pressing', 'lawan']"
pergerakan tanpa bola lebih baik di era amorim dibanding ten hag,"['pergerakan', 'tanpa', 'bola', 'lebih', 'baik', 'di', 'era', 'amorim', 'dibanding', 'ten', 'hag']"
iya itu maksud gue bola sudah depan semua pemain brigton kan suka tuh sudah one on one sama kiper terus bola nya di oper ke samping kga offside,"['iya', 'itu', 'maksud', 'gue', 'bola', 'sudah', 'depan', 'semua', 'pemain', 'brigton', 'kan', 'suka', 'tuh', 'sudah', 'one', 'on', 'one', 'sama', 'kiper', 'terus', 'bola', 'nya', 'di', 'oper', 'ke', 'samping', 'kga', 'offside']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
dia free transfer seengga nya ada opsi gelandang apalagi eriksen lindelof sancho mau out bisa ngurangin gaji tim,"['dia', 'free', 'transfer', 'seengga', 'nya', 'ada', 'opsi', 'gelandang', 'apalagi', 'eriksen', 'lindelof', 'sancho', 'mau', 'out', 'bisa', 'ngurangin', 'gaji', 'tim']"
keputusan bijak nan cerdas wkwk enggak mengikuti sebulan saja hidup rasanya lebih fresh,"['keputusan', 'bijak', 'nan', 'cerdas', 'wkwk', 'enggak', 'mengikuti', 'sebulan', 'saja', 'hidup', 'rasanya', 'lebih', 'fresh']"
kekalahan kita bermain sangat buruk terutama di lini belakang harus segera diperbaiki sebelum terlambat,"['kekalahan', 'kita', 'bermain', 'sangat', 'buruk', 'terutama', 'di', 'lini', 'belakang', 'harus', 'segera', 'diperbaiki', 'sebelum', 'terlambat']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
flop juga enggak masalah sih harga murahgaji juga turun jauh tidak ada biaya peminjaman juga,"['flop', 'juga', 'enggak', 'masalah', 'sih', 'harga', 'murahgaji', 'juga', 'turun', 'jauh', 'tidak', 'ada', 'biaya', 'peminjaman', 'juga']"
kekalahan yang sangat mengecewakan kita terlalu mudah kebobolan dan enggak ada perbaikan di lini belakang,"['kekalahan', 'yang', 'sangat', 'mengecewakan', 'kita', 'terlalu', 'mudah', 'kebobolan', 'dan', 'enggak', 'ada', 'perbaikan', 'di', 'lini', 'belakang']"
wkwk kasihan pelatih nya numpuk semua lu,"['wkwk', 'kasihan', 'pelatih', 'nya', 'numpuk', 'semua', 'lu']"
kelihatannya comment tapi indak lihat pertandingan,"['kelihatannya', 'comment', 'tapi', 'indak', 'lihat', 'pertandingan']"
balas babak ke di stry selalu share l nk menonton emyu,"['balas', 'babak', 'ke', 'di', 'stry', 'selalu', 'share', 'l', 'nk', 'menonton', 'emyu']"
kalau mau juara mental harus diperbaiki dulu jangan gampang down kalau ketinggalan,"['kalau', 'mau', 'juara', 'mental', 'harus', 'diperbaiki', 'dulu', 'jangan', 'gampang', 'down', 'kalau', 'ketinggalan']"
enggak jeles amat dokter fishio emyu ini trutma luke shaw,"['enggak', 'jeles', 'amat', 'dokter', 'fishio', 'emyu', 'ini', 'trutma', 'luke', 'shaw']"
intinya lebih ke mengapai masih mainin sih dalot,"['intinya', 'lebih', 'ke', 'mengapai', 'masih', 'mainin', 'sih', 'dalot']"
kebobolan tadi salah martinez bukan maguire dia enggak jaga welbeck,"['kebobolan', 'tadi', 'salah', 'martinez', 'bukan', 'maguire', 'dia', 'enggak', 'jaga', 'welbeck']"
ayo unyu jangan lawak lagi kayak musim lalu dong,"['ayo', 'unyu', 'jangan', 'lawak', 'lagi', 'kayak', 'musim', 'lalu', 'dong']"
sehat deh,"['sehat', 'deh']"
oi oi oi,"['oi', 'oi', 'oi']"
amorim kasih kita kemenangan penting tapi pertahanan tetap jadi masalah buat mu tapi harus lebih solid,"['amorim', 'kasih', 'kita', 'kemenangan', 'penting', 'tapi', 'pertahanan', 'tetap', 'jadi', 'masalah', 'buat', 'mu', 'tapi', 'harus', 'lebih', 'solid']"
tolong jangan menonton mu sampai juara,"['tolong', 'jangan', 'menonton', 'mu', 'sampai', 'juara']"
ruben amorim sudah menunjukkan tandatanda positif dalam laga pertama meskipun hasilnya imbang saya percaya dia bisa memperbaiki tim lebih baik,"['ruben', 'amorim', 'sudah', 'menunjukkan', 'tandatanda', 'positif', 'dalam', 'laga', 'pertama', 'meskipun', 'hasilnya', 'imbang', 'saya', 'percaya', 'dia', 'bisa', 'memperbaiki', 'tim', 'lebih', 'baik']"
kalau streaming dimana,"['kalau', 'streaming', 'dimana']"
tinggal main doang apa susahnya system lu saja enggak jelas wkwk,"['tinggal', 'main', 'doang', 'apa', 'susahnya', 'system', 'lu', 'saja', 'enggak', 'jelas', 'wkwk']"
antony tuker mudryk saja,"['antony', 'tuker', 'mudryk', 'saja']"
luke shaw masih idupkirain deh mati,"['luke', 'shaw', 'masih', 'idupkirain', 'deh', 'mati']"
sangat mengecewakan kalah pertahanan dan serangan sangat buruk kita harus belajar dari kesalahan ini,"['sangat', 'mengecewakan', 'kalah', 'pertahanan', 'dan', 'serangan', 'sangat', 'buruk', 'kita', 'harus', 'belajar', 'dari', 'kesalahan', 'ini']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
lae tenang ada mas mount,"['lae', 'tenang', 'ada', 'mas', 'mount']"
harus beli tipikal pemain no dan bisa free role plus penyerang pengalaman,"['harus', 'beli', 'tipikal', 'pemain', 'no', 'dan', 'bisa', 'free', 'role', 'plus', 'penyerang', 'pengalaman']"
chemistry tim meningkat di bawah amorim pemain lebih bebas berekspresi,"['chemistry', 'tim', 'meningkat', 'di', 'bawah', 'amorim', 'pemain', 'lebih', 'bebas', 'berekspresi']"
rashford pun tak guna,"['rashford', 'pun', 'tak', 'guna']"
terus coba sebutin siapa yang cocok gantiin,"['terus', 'coba', 'sebutin', 'siapa', 'yang', 'cocok', 'gantiin']"
belum terlihat perubahan signifikan tapi setidaknya ada perbaikan kecil dalam pola permainan,"['belum', 'terlihat', 'perubahan', 'signifikan', 'tapi', 'setidaknya', 'ada', 'perbaikan', 'kecil', 'dalam', 'pola', 'permainan']"
enggak jelas main ya kaya tim liga bri anjir,"['enggak', 'jelas', 'main', 'ya', 'kaya', 'tim', 'liga', 'bri', 'anjir']"
meskipun kami hanya bermain imbang saya melihat adanya perubahan positif dalam gaya bermain mu di bawah ruben amorim,"['meskipun', 'kami', 'hanya', 'bermain', 'imbang', 'saya', 'melihat', 'adanya', 'perubahan', 'positif', 'dalam', 'gaya', 'bermain', 'mu', 'di', 'bawah', 'ruben', 'amorim']"
senang lihat pemain muda dapat kesempatan di era amorim ini yang kita butuhkan,"['senang', 'lihat', 'pemain', 'muda', 'dapat', 'kesempatan', 'di', 'era', 'amorim', 'ini', 'yang', 'kita', 'butuhkan']"
hahahah,['hahahah']
kapan main lagi dan jam berapa,"['kapan', 'main', 'lagi', 'dan', 'jam', 'berapa']"
pasti tim pelatih menejemen sudah siap menghadapi cederanya amad karena mereka mengasih pinjem antony raspot sancho masak iya asal pinjemin saja enggak memikirkan hal terburuk,"['pasti', 'tim', 'pelatih', 'menejemen', 'sudah', 'siap', 'menghadapi', 'cederanya', 'amad', 'karena', 'mereka', 'mengasih', 'pinjem', 'antony', 'raspot', 'sancho', 'masak', 'iya', 'asal', 'pinjemin', 'saja', 'enggak', 'memikirkan', 'hal', 'terburuk']"
harinya,['harinya']
lihat di fanbase sebelah katanya gaji sancho dibayar sama chelsea jadi yang benar yang mana ya,"['lihat', 'di', 'fanbase', 'sebelah', 'katanya', 'gaji', 'sancho', 'dibayar', 'sama', 'chelsea', 'jadi', 'yang', 'benar', 'yang', 'mana', 'ya']"
kelemahan emyu itu rekrut pemain di tim medioker enggak terkenal,"['kelemahan', 'emyu', 'itu', 'rekrut', 'pemain', 'di', 'tim', 'medioker', 'enggak', 'terkenal']"
kombinasi passing di sepertiga akhir lebih variatif dibanding era ten hag,"['kombinasi', 'passing', 'di', 'sepertiga', 'akhir', 'lebih', 'variatif', 'dibanding', 'era', 'ten', 'hag']"
untungnya ada harry maguire,"['untungnya', 'ada', 'harry', 'maguire']"
rasford dan zizah murni offside,"['rasford', 'dan', 'zizah', 'murni', 'offside']"
hancur total mu di tangan amorim mainnya kayak tim championship sekarang malu,"['hancur', 'total', 'mu', 'di', 'tangan', 'amorim', 'mainnya', 'kayak', 'tim', 'championship', 'sekarang', 'malu']"
wkwk agak lain memang,"['wkwk', 'agak', 'lain', 'memang']"
saya suka semangat tim ini meski kalah tetap kasih perlawanan yang sengit,"['saya', 'suka', 'semangat', 'tim', 'ini', 'meski', 'kalah', 'tetap', 'kasih', 'perlawanan', 'yang', 'sengit']"
semoga saja mathys tell dibeli deh sama man lu,"['semoga', 'saja', 'mathys', 'tell', 'dibeli', 'deh', 'sama', 'man', 'lu']"
style penalty licha gila cool banget,"['style', 'penalty', 'licha', 'gila', 'cool', 'banget']"
benar masuk musim melatih permainannya enggak ada signifikan terlebih pemain yang dia mau sudah didatngkan,"['benar', 'masuk', 'musim', 'melatih', 'permainannya', 'enggak', 'ada', 'signifikan', 'terlebih', 'pemain', 'yang', 'dia', 'mau', 'sudah', 'didatngkan']"
kenapa loan kenapa tidak di jual terus,"['kenapa', 'loan', 'kenapa', 'tidak', 'di', 'jual', 'terus']"
nanti bola crosing malah ploga plogo obana obanaa,"['nanti', 'bola', 'crosing', 'malah', 'ploga', 'plogo', 'obana', 'obanaa']"
sebelum komen harus tahu info dulu bocah,"['sebelum', 'komen', 'harus', 'tahu', 'info', 'dulu', 'bocah']"
kadang heran lihat pemain lain pengin nya cetak gol pemain united semisal rasford sama anthony pengin nya pamer skill norakliat no ibrahimovicsudut sempit kaki kiri saja pas di united mash bisa cetak gol bukan cuma cek gocek doang,"['kadang', 'heran', 'lihat', 'pemain', 'lain', 'pengin', 'nya', 'cetak', 'gol', 'pemain', 'united', 'semisal', 'rasford', 'sama', 'anthony', 'pengin', 'nya', 'pamer', 'skill', 'norakliat', 'no', 'ibrahimovicsudut', 'sempit', 'kaki', 'kiri', 'saja', 'pas', 'di', 'united', 'mash', 'bisa', 'cetak', 'gol', 'bukan', 'cuma', 'cek', 'gocek', 'doang']"
rotasi pemain lebih masuk akal di era amorim,"['rotasi', 'pemain', 'lebih', 'masuk', 'akal', 'di', 'era', 'amorim']"
mending tukang kebun old trafford jadi pelatih daripada amorim sungguh memalukan,"['mending', 'tukang', 'kebun', 'old', 'trafford', 'jadi', 'pelatih', 'daripada', 'amorim', 'sungguh', 'memalukan']"
menonton final fa enggak,"['menonton', 'final', 'fa', 'enggak']"
sty ini,"['sty', 'ini']"
bang please sadar diri bang,"['bang', 'please', 'sadar', 'diri', 'bang']"
pertahanan kita sempat terlihat goyah di beberapa kesempatan beruntung brighton tidak mampu memanfaatkan peluang tersebut,"['pertahanan', 'kita', 'sempat', 'terlihat', 'goyah', 'di', 'beberapa', 'kesempatan', 'beruntung', 'brighton', 'tidak', 'mampu', 'memanfaatkan', 'peluang', 'tersebut']"
jasa vektor dm saja,"['jasa', 'vektor', 'dm', 'saja']"
akamsi sih susah di buang,"['akamsi', 'sih', 'susah', 'di', 'buang']"
mending rekrut pemain baru saja dari pada bertahan sama skuad beban ini,"['mending', 'rekrut', 'pemain', 'baru', 'saja', 'dari', 'pada', 'bertahan', 'sama', 'skuad', 'beban', 'ini']"
pemain mulai mengerti gaya main amorim tapi lini belakang masih butuh pembenahan semoga lebih baik di lagalaga berikutnya,"['pemain', 'mulai', 'mengerti', 'gaya', 'main', 'amorim', 'tapi', 'lini', 'belakang', 'masih', 'butuh', 'pembenahan', 'semoga', 'lebih', 'baik', 'di', 'lagalaga', 'berikutnya']"
tapi kayaknya mainoo memang lebih nyaman dikasih free role di depan begitu deh,"['tapi', 'kayaknya', 'mainoo', 'memang', 'lebih', 'nyaman', 'dikasih', 'free', 'role', 'di', 'depan', 'begitu', 'deh']"
deh gea diamonde deh light maguire mazroi mctomnay mainodavies kvaratskhelia hojlundgyokeres olise,"['deh', 'gea', 'diamonde', 'deh', 'light', 'maguire', 'mazroi', 'mctomnay', 'mainodavies', 'kvaratskhelia', 'hojlundgyokeres', 'olise']"
kayak berasa ngaruh saja ke tim,"['kayak', 'berasa', 'ngaruh', 'saja', 'ke', 'tim']"
nongol juga pendukung ten hag percaya prokes,"['nongol', 'juga', 'pendukung', 'ten', 'hag', 'percaya', 'prokes']"
posisi juga unbeaten kan bang,"['posisi', 'juga', 'unbeaten', 'kan', 'bang']"
menonton ane bang,"['menonton', 'ane', 'bang']"
mu harus meningkatkan permainan passing di lini tengah banyak yang harus diperbaiki,"['mu', 'harus', 'meningkatkan', 'permainan', 'passing', 'di', 'lini', 'tengah', 'banyak', 'yang', 'harus', 'diperbaiki']"
botak banyak lagu nya,"['botak', 'banyak', 'lagu', 'nya']"
zirkzee sama hojlund bisa jadi senjata mematikan musim depan keduanya punya finishing yang oke banget,"['zirkzee', 'sama', 'hojlund', 'bisa', 'jadi', 'senjata', 'mematikan', 'musim', 'depan', 'keduanya', 'punya', 'finishing', 'yang', 'oke', 'banget']"
jadwal main kapan jam berapa,"['jadwal', 'main', 'kapan', 'jam', 'berapa']"
isnan kan siapa tau balik jadi penyerang bisa sat set sat set lagi,"['isnan', 'kan', 'siapa', 'tau', 'balik', 'jadi', 'penyerang', 'bisa', 'sat', 'set', 'sat', 'set', 'lagi']"
kalo lihat bola naik baru maju maju enggak offside bang tapi kalo lihat posisi begini ya offside kalo diambil sih dalot tadi offside jelas,"['kalo', 'lihat', 'bola', 'naik', 'baru', 'maju', 'maju', 'enggak', 'offside', 'bang', 'tapi', 'kalo', 'lihat', 'posisi', 'begini', 'ya', 'offside', 'kalo', 'diambil', 'sih', 'dalot', 'tadi', 'offside', 'jelas']"
terus kalo gue mengasih tau pemain mana yang harus di beli memang emyu bakal mendengarkan gue kocak kali,"['terus', 'kalo', 'gue', 'mengasih', 'tau', 'pemain', 'mana', 'yang', 'harus', 'di', 'beli', 'memang', 'emyu', 'bakal', 'mendengarkan', 'gue', 'kocak', 'kali']"
yang di tunggu kemenangan beruntun buat ningkatin mental e baru match ke sudah kok,"['yang', 'di', 'tunggu', 'kemenangan', 'beruntun', 'buat', 'ningkatin', 'mental', 'e', 'baru', 'match', 'ke', 'sudah', 'kok']"
onana main home beh combo mematikan,"['onana', 'main', 'home', 'beh', 'combo', 'mematikan']"
tiap musim begini terus,"['tiap', 'musim', 'begini', 'terus']"
assist bruno kelas banget crossing membelah lautan,"['assist', 'bruno', 'kelas', 'banget', 'crossing', 'membelah', 'lautan']"
gila seru banget pertandingan kali ini ayo terus berjuang,"['gila', 'seru', 'banget', 'pertandingan', 'kali', 'ini', 'ayo', 'terus', 'berjuang']"
nah itu dia,"['nah', 'itu', 'dia']"
ada ada saja bang ini club ampun wkwk,"['ada', 'ada', 'saja', 'bang', 'ini', 'club', 'ampun', 'wkwk']"
bruno pertahankan standart kita,"['bruno', 'pertahankan', 'standart', 'kita']"
bayindir bisa nih geser onane,"['bayindir', 'bisa', 'nih', 'geser', 'onane']"
saya optimis dengan perubahan yang dibawa ruben amorim meskipun ada banyak kekurangan saya yakin dia bisa memperbaiki tim ke depannya,"['saya', 'optimis', 'dengan', 'perubahan', 'yang', 'dibawa', 'ruben', 'amorim', 'meskipun', 'ada', 'banyak', 'kekurangan', 'saya', 'yakin', 'dia', 'bisa', 'memperbaiki', 'tim', 'ke', 'depannya']"
mazraoui langsung nyetel di bek kanan crossingnya cakepcakep shaw di kiri maz di kanan perfect,"['mazraoui', 'langsung', 'nyetel', 'di', 'bek', 'kanan', 'crossingnya', 'cakepcakep', 'shaw', 'di', 'kiri', 'maz', 'di', 'kanan', 'perfect']"
pergerakan off the ball lebih dinamis pemain tidak terlalu statis menunggu bola,"['pergerakan', 'off', 'the', 'ball', 'lebih', 'dinamis', 'pemain', 'tidak', 'terlalu', 'statis', 'menunggu', 'bola']"
pemain juniornya nya saja turunin,"['pemain', 'juniornya', 'nya', 'saja', 'turunin']"
standup comedy,"['standup', 'comedy']"
gol saipul kemarin murni kesalahan semua,"['gol', 'saipul', 'kemarin', 'murni', 'kesalahan', 'semua']"
untungnya ada harry maguire,"['untungnya', 'ada', 'harry', 'maguire']"
elsilahkan,['elsilahkan']
kata untuk casemiro,"['kata', 'untuk', 'casemiro']"
piala fa enggak ada var ya sepertinya goal maguire offside,"['piala', 'fa', 'enggak', 'ada', 'var', 'ya', 'sepertinya', 'goal', 'maguire', 'offside']"
ruben amorim sudah mulai menunjukkan kualitasnya meskipun hasil pertama imbang saya yakin dia bisa membawa mu ke level yang lebih tinggi,"['ruben', 'amorim', 'sudah', 'mulai', 'menunjukkan', 'kualitasnya', 'meskipun', 'hasil', 'pertama', 'imbang', 'saya', 'yakin', 'dia', 'bisa', 'membawa', 'mu', 'ke', 'level', 'yang', 'lebih', 'tinggi']"
sterling sama maduake enggak apa-apa,"['sterling', 'sama', 'maduake', 'enggak', 'apa-apa']"
walau menang saya masih khawatir dengan pertahanan mu perlu lebih banyak latihan defensif,"['walau', 'menang', 'saya', 'masih', 'khawatir', 'dengan', 'pertahanan', 'mu', 'perlu', 'lebih', 'banyak', 'latihan', 'defensif']"
kenapa amorim tidak mencoba lebih banyak pemain muda padahal ada potensi,"['kenapa', 'amorim', 'tidak', 'mencoba', 'lebih', 'banyak', 'pemain', 'muda', 'padahal', 'ada', 'potensi']"
beberapa pemain masih kesulitan memahami filosofi permainan amorim,"['beberapa', 'pemain', 'masih', 'kesulitan', 'memahami', 'filosofi', 'permainan', 'amorim']"
bismillah saja untuk sisa musim ini,"['bismillah', 'saja', 'untuk', 'sisa', 'musim', 'ini']"
enggak usah mengomong posisi dulu deh pak eth perbaiki dulu gaya mainnya sudah beli yang lu mau loh tapi main masih enggak jelas,"['enggak', 'usah', 'mengomong', 'posisi', 'dulu', 'deh', 'pak', 'eth', 'perbaiki', 'dulu', 'gaya', 'mainnya', 'sudah', 'beli', 'yang', 'lu', 'mau', 'loh', 'tapi', 'main', 'masih', 'enggak', 'jelas']"
ya karena waktu itu kayak enggak ada target lain saja,"['ya', 'karena', 'waktu', 'itu', 'kayak', 'enggak', 'ada', 'target', 'lain', 'saja']"
dulu ada yang bilang selagi masih ada duet mcfreed maka mu akan begitu saja sekarang mcfreed sudah rip di muttep saja begitu ajasoitu semua omong kosong belaka,"['dulu', 'ada', 'yang', 'bilang', 'selagi', 'masih', 'ada', 'duet', 'mcfreed', 'maka', 'mu', 'akan', 'begitu', 'saja', 'sekarang', 'mcfreed', 'sudah', 'rip', 'di', 'muttep', 'saja', 'begitu', 'ajasoitu', 'semua', 'omong', 'kosong', 'belaka']"
sama saja ini mah bedanya satunya sampah organik di tukar sama sampah anorganik,"['sama', 'saja', 'ini', 'mah', 'bedanya', 'satunya', 'sampah', 'organik', 'di', 'tukar', 'sama', 'sampah', 'anorganik']"
itu tadi pemain brighton sengaja ngegeser bola pakai tangan kagak ada kartu sama sekali dari washiit,"['itu', 'tadi', 'pemain', 'brighton', 'sengaja', 'ngegeser', 'bola', 'pakai', 'tangan', 'kagak', 'ada', 'kartu', 'sama', 'sekali', 'dari', 'washiit']"
ten hag masih butuh waktu kasih dia kesempatan buat ngebangun tim yang lebih solid,"['ten', 'hag', 'masih', 'butuh', 'waktu', 'kasih', 'dia', 'kesempatan', 'buat', 'ngebangun', 'tim', 'yang', 'lebih', 'solid']"
enggak bayindir,"['enggak', 'bayindir']"
harus beli tipikal pemain no dan bisa free role plus penyerang pengalaman,"['harus', 'beli', 'tipikal', 'pemain', 'no', 'dan', 'bisa', 'free', 'role', 'plus', 'penyerang', 'pengalaman']"
